raw/gen/rollout/ep_rew_mean,raw/gen/time/total_timesteps,raw/gen/time/fps,raw/gen/rollout/ep_len_mean,raw/gen/time/iterations,raw/gen/time/time_elapsed,raw/gen/train/entropy_loss,raw/gen/train/value_loss,raw/gen/train/clip_fraction,raw/gen/train/approx_kl,raw/gen/train/learning_rate,raw/gen/train/explained_variance,raw/gen/train/loss,raw/gen/train/clip_range,raw/gen/train/policy_gradient_loss,raw/gen/train/n_updates,raw/gen/rollout/ep_rew_wrapped_mean
-500.0,512,1865,45.0,1,0,,,,,,,,,,,
-481.81817626953125,1024,1696,45.0,1,0,-1.6072845328599215,0.008211123902583495,0.02392578125,0.005293087,0.0001,-6.4486918449401855,-0.04034287855029106,0.2,-0.013715707740630023,8,-0.40470545095476235
-414.70587158203125,1536,1946,45.0,1,0,-1.5990865230560303,0.016113649173348676,0.0478515625,0.012007695,0.0001,-0.4126652479171753,-0.06177457422018051,0.2,-0.01626438358653104,16,-0.9010062462396242
-384.4444580078125,2048,1774,45.0,1,0,-1.5871271584182978,0.04946657764958218,0.066650390625,0.011469172,0.0001,0.2607828378677368,-0.0468587763607502,0.2,-0.020969429322576616,24,-1.4822806953726446
-451.78570556640625,2560,1990,45.0,1,0,-1.5892151603475213,0.09120025429001544,0.07666015625,0.011616496,0.0001,0.4011511206626892,-0.034327324479818344,0.2,-0.022403904680686537,32,-2.0873512156307696
-423.5294189453125,3072,2094,45.0,1,0,-1.5727803343906999,0.13447950867703184,0.045654296875,0.010263372,0.0001,0.6068776845932007,0.016026508063077927,0.2,-0.014958040315832477,40,-2.63174475762727
-449.3670959472656,3584,1574,45.0,1,0,-1.552066145464778,0.20605178317055106,0.067138671875,0.009699188,0.0001,0.6229462921619415,-0.005180232226848602,0.2,-0.014654908314696513,48,-3.2351466811207286
-450.5494384765625,4096,2412,45.0,1,0,-1.5273388922214508,0.34021248249337077,0.071533203125,0.010212199,0.0001,0.5790323615074158,0.09369631111621857,0.2,-0.013438709269394167,56,-3.8425864668303653
-475.0,4608,2218,45.0,1,0,-1.5048039434477687,0.4179567836690694,0.008544921875,0.008336885,0.0001,0.6031299531459808,0.1319054216146469,0.2,-0.007288336913916282,64,-4.517406259141453
-483.5,5120,2184,45.0,1,0,-1.5077561065554619,0.613976844237186,0.07958984375,0.008155254,0.0001,0.6009455919265747,0.13313251733779907,0.2,-0.023043974055326544,72,-5.346291353460401
-485.5,5632,2570,45.0,1,0,-1.498733676970005,0.8390359976328909,0.07763671875,0.012991432,0.0001,0.6250626742839813,0.12553241848945618,0.2,-0.014638406959420536,80,-6.768737147189677
-492.5,6144,2651,45.0,1,0,-1.4674861123785377,1.238958789035678,0.022705078125,0.006748738,0.0001,0.5056931972503662,0.3882097601890564,0.2,-0.006703070263029076,88,-8.31647917661816
-518.0,6656,2450,45.0,1,0,-1.4259969228878617,1.5923830994870514,0.123291015625,0.014074923,0.0001,0.5811746716499329,0.26865923404693604,0.2,-0.011876454373123124,96,-9.908860873878002
-519.5,7168,2342,45.0,1,0,-1.4177603032439947,2.7020853562280536,0.0478515625,0.009194839,0.0001,0.6677272021770477,0.41446205973625183,0.2,-0.010427511495436192,104,-11.768652663230895
-530.5,7680,2794,45.0,1,0,-1.4243127824738622,3.6044577546417713,0.02685546875,0.004178214,0.0001,0.6833465099334717,0.8326489329338074,0.2,-0.007534116077295039,112,-14.078983264416456
-542.0,8192,2528,45.0,1,0,-1.401381392031908,3.601608575321734,0.023193359375,0.013166405,0.0001,0.3929922580718994,1.0560563802719116,0.2,-0.006928632989001926,120,-16.304458605498077
-554.0,8704,2761,45.0,1,0,-1.365048224106431,7.710328351706266,0.016845703125,0.0068876464,0.0001,0.5565594136714935,1.580819010734558,0.2,-0.00841111294721486,128,-19.086047291755676
-554.0,9216,2833,45.0,1,0,-1.3404622236266732,9.541126180440187,0.005615234375,0.0038060097,0.0001,0.4407147765159607,2.479581594467163,0.2,-0.003940993097785395,136,-21.91248376503587
-564.0,9728,2815,45.0,1,0,-1.3187536913901567,13.643750913441181,0.00048828125,0.0015824857,0.0001,0.28823375701904297,2.2060627937316895,0.2,-0.0020465476482058875,144,-24.93948939025402
-564.0,10240,2864,45.0,1,0,-1.3005201388150454,27.09214400500059,0.0,0.00026113912,0.0001,0.07726889848709106,7.3274617195129395,0.2,-0.0004801886389032006,152,-28.635446804463864
-571.5,10752,2557,45.0,1,0,-1.3294850587844849,34.859314039349556,0.0,0.00019129424,0.0001,0.02799159288406372,9.118356704711914,0.2,-0.0011315799565636553,160,-32.31535151749849
-564.0,11264,2151,45.0,1,0,-1.3206909382715821,48.93404370546341,0.0,9.504997e-05,0.0001,0.019696474075317383,13.546602249145508,0.2,-0.0006301884859567508,168,-36.2766193023324
-558.5,11776,2365,45.0,1,0,-1.3122426010668278,62.42031693458557,0.0,6.5198634e-05,0.0001,0.005714058876037598,16.672687530517578,0.2,-0.000756850957259303,176,-40.71193319648504
-558.0,12288,2314,45.0,1,0,-1.312839437276125,76.41767144203186,0.0,0.000116360374,0.0001,0.004618167877197266,26.190311431884766,0.2,-0.0011784763846662827,184,-44.87105353266001
-549.5,12800,2602,45.0,1,0,-1.3098748046904802,93.79387870430946,0.0,0.00018172595,0.0001,0.0014386773109436035,33.948238372802734,0.2,-0.0012966158974450082,192,-49.76516837775707
-542.5,13312,2748,45.0,1,0,-1.3216168405488133,117.62880152463913,0.0,2.7022092e-05,0.0001,0.0025997161865234375,48.263710021972656,0.2,-0.00037491742841666564,200,-54.35284766077995
-545.0,13824,2718,45.0,1,0,-1.3131148433312774,133.58747518062592,0.0,7.3030824e-06,0.0001,0.0018044710159301758,42.40447235107422,0.2,-9.951142601494212e-05,208,-58.83433786332607
-545.0,14336,2856,45.0,1,0,-1.3166797822341323,155.91427248716354,0.0,0.00010830478,0.0001,0.0010981559753417969,59.538909912109375,0.2,-0.0009714334009913728,216,-63.846067150831225
-545.0,14848,2881,45.0,1,0,-1.338269829750061,169.54587841033936,0.0,6.175169e-05,0.0001,0.0007790327072143555,62.99985885620117,0.2,-0.0004973916511517018,224,-68.24705427408219
-551.0,15360,2408,45.0,1,0,-1.327724989503622,193.20770025253296,0.0,1.9146479e-05,0.0001,0.0006480813026428223,78.63726806640625,0.2,-0.00029988882852194365,232,-72.62997166037559
-531.0,15872,2776,45.0,1,0,-1.331202145665884,182.75297808647156,0.0,3.9606006e-05,0.0001,0.00018417835235595703,70.43920135498047,0.2,-0.0003333376153022982,240,-76.46515719473362
-544.0,16384,2829,45.0,1,0,-1.3256291588768363,200.47333651781082,0.0,0.00015424413,0.0001,0.0002353191375732422,85.3379135131836,0.2,-0.0011291890914435498,248,-79.99277573168278
-540.5,16896,2728,45.0,1,0,-1.3217547135427594,207.54831057786942,0.0,9.28503e-05,0.0001,0.00013196468353271484,80.41187286376953,0.2,-0.000811201683973195,256,-83.5794937211275
